t_s	vmhwm_mb	vmrss_mb	mem_avail_mb	swapfree_mb
701.2	7847	4437	2665	24037
701.7	7847	4401	2693	24007
702.2	7847	4356	2732	23954
702.7	7847	4356	2728	23935
703.2	7847	4356	2728	23935
703.7	7847	4353	2738	23932
704.2	7847	4307	2769	23909
704.7	7847	4285	2788	23885
705.2	7847	4258	2802	23856
705.7	7847	4189	2827	23814
706.2	7847	4128	2865	23761
706.7	7847	4114	2859	23752
707.2	7847	4089	2896	23730
707.7	7847	4042	2916	23695
708.2	7847	3997	2932	23652
708.7	7847	3929	2963	23621
709.2	7847	3928	2955	23621
709.7	7847	3928	2955	23621
710.2	7847	3927	2953	23620
710.7	7847	3878	3004	23580
711.2	7847	3822	3035	23540
711.7	7847	3756	3072	23492
712.2	7847	3736	3083	23482
712.7	7847	3712	3112	23462
713.2	7847	3662	3144	23416
713.7	7847	3604	3180	23371
714.2	7847	3556	3193	23353
714.7	7847	3556	3196	23353
715.2	7847	3530	3210	23351
715.7	7847	3465	3217	23346
716.2	7847	3424	3233	23339
716.7	7847	3340	3274	23332
717.2	7847	3229	3263	23314
717.7	7847	3145	3360	23286
718.2	7847	3148	3469	23257
718.7	7847	3141	3379	23238
719.2	7847	3149	3563	23230
719.7	7847	3266	3426	23241
720.2	7847	3359	3390	23223
720.7	7847	3352	3442	23320
721.2	7847	3316	3542	23265
721.7	7847	3312	3525	23307
722.2	7847	3369	3480	23270
722.7	7847	3371	3345	23214
723.2	7847	3360	3362	23148
723.7	7847	3353	3461	23079
724.2	7847	3300	3473	23009
724.7	7847	3254	3504	22930
725.2	7847	3188	3561	22854
725.7	7847	3166	3576	22800
726.2	7847	3169	3571	22743
726.7	7847	3246	3572	22736
727.2	7847	3242	3616	22738
727.7	7847	3155	3723	23314
728.2	7847	3170	3690	23442
728.7	7847	3154	3690	23502
729.2	7847	3114	3727	23613
729.7	7847	3108	3773	23645
730.2	7847	3077	3846	23692
730.7	7847	3035	3881	23800
731.2	7847	3080	3841	23812
731.7	7847	3125	3776	23917
732.2	7847	3021	3851	24770
732.7	7847	2513	4568	28483
733.2	7847	2419	5027	30320
733.7	7847	2251	5970	32967
734.2	7847	2215	6129	33684
734.7	7847	2219	6097	33732
735.2	7847	2219	6077	33810
735.7	7847	2201	6090	33954
736.2	7847	2228	6094	33963
736.7	7847	2245	6085	33969
737.2	7847	2235	6095	33997
737.7	7847	2258	6114	33997
738.2	-1	-1	6407	34295
738.7	-1	-1	7133	34943
