frame,t_s,s_m,x,y,z,speed_ms,speed_kph,curvature,heading_rad,accel_long_ms2,accel_lat_ms2,wheel_rot_rad,steer_norm,pitch_rad,roll_rad,wheelspin
33,1.375000,5.1904,6.4988,0.0000,0.0000,9.83624,35.410,0.0000000,0.000000,9.1937,0.0000,23.55753,0.00000,-0.008558,0.000000,0
34,1.416667,5.6029,7.0153,0.0000,0.0000,10.21949,36.790,0.0000000,0.000000,9.2018,0.0000,24.70336,0.00000,-0.008565,0.000000,0
35,1.458333,6.0309,7.5513,0.0000,0.0000,10.60306,38.171,0.0000000,0.000000,9.2091,0.0000,25.89249,0.00000,-0.008572,0.000000,0
36,1.500000,6.4753,8.1076,0.0000,0.0000,10.98692,39.553,0.0000000,0.000000,9.2159,0.0000,27.12675,0.00000,-0.008579,0.000000,0
37,1.541667,6.9362,8.6847,0.0000,0.0000,11.37105,40.936,0.0000000,0.000000,9.2219,0.0000,28.40713,0.00000,-0.008584,0.000000,0
38,1.583333,7.4131,9.2818,0.0000,0.0000,11.75542,42.320,0.0000000,0.000000,9.2273,0.0000,29.73180,0.00000,-0.008589,0.000000,0
39,1.625000,7.9060,9.8990,0.0000,0.0000,12.13999,43.704,0.0000000,0.000000,9.2321,0.0000,31.10105,0.00000,-0.008594,0.000000,0
40,1.666667,8.4150,10.5364,0.0000,0.0000,12.52476,45.089,0.0000000,0.000000,9.2366,0.0000,32.51497,0.00000,-0.008598,0.000000,0
41,1.708333,8.9401,11.1938,0.0000,0.0000,12.90971,46.475,0.0000000,0.000000,9.2406,0.0000,33.97351,0.00000,-0.008602,0.000000,0
42,1.750000,9.4812,11.8713,0.0000,0.0000,13.29482,47.861,0.0000000,0.000000,9.2444,0.0000,35.47652,0.00000,-0.008605,0.000000,0
43,1.791667,10.0389,12.5696,0.0000,0.0000,13.68008,49.248,0.0000000,0.000000,9.2478,0.0000,37.02569,0.00000,-0.008608,0.000000,0
44,1.833333,10.6126,13.2879,0.0000,0.0000,14.06547,50.636,0.0000000,0.000000,9.2509,0.0000,38.61925,0.00000,-0.008611,0.000000,0
45,1.875000,11.2021,14.0259,0.0000,0.0000,14.45098,52.024,0.0000000,0.000000,9.2538,0.0000,40.25670,0.00000,-0.008614,0.000000,0
46,1.916667,11.8080,14.7847,0.0000,0.0000,14.83662,53.412,0.0000000,0.000000,9.7583,0.0000,41.93997,0.00000,-0.009083,0.000000,0
47,1.958333,12.4319,15.4519,0.0000,0.0000,15.26418,54.951,0.0000000,0.000000,10.4578,0.0000,43.67289,0.00000,-0.009735,0.000000,0
48,2.000000,13.0749,16.0949,0.0000,0.0000,15.70810,56.549,0.0000000,0.000000,10.6558,0.0000,45.45911,0.00000,-0.009919,0.000000,0
49,2.041667,13.7362,16.7562,0.0000,0.0000,16.15216,58.148,0.0000000,0.000000,10.6590,0.0000,47.29599,0.00000,-0.009922,0.000000,0
50,2.083333,14.4167,17.4367,0.0000,0.0000,16.59635,59.747,0.0000000,0.000000,10.6619,0.0000,49.18615,0.00000,-0.009925,0.000000,0
51,2.125000,15.1156,18.1356,0.0000,0.0000,17.04066,61.346,0.0000000,0.000000,10.6646,0.0000,51.12756,0.00000,-0.009927,0.000000,0
52,2.166667,15.8330,18.8530,0.0000,0.0000,17.48507,62.946,0.0000000,0.000000,10.6671,0.0000,53.12053,0.00000,-0.009929,0.000000,0
53,2.208333,16.5691,19.5891,0.0000,0.0000,17.92958,64.546,0.0000000,0.000000,10.6694,0.0000,55.16526,0.00000,-0.009932,0.000000,0
54,2.250000,17.3239,20.3439,0.0000,0.0000,18.37419,66.147,0.0000000,0.000000,10.6715,0.0000,57.26184,0.00000,-0.009934,0.000000,0
55,2.291667,18.0973,21.1173,0.0000,0.0000,18.81887,67.748,0.0000000,0.000000,10.6735,0.0000,59.41024,0.00000,-0.009935,0.000000,0
56,2.333333,18.8894,21.9094,0.0000,0.0000,19.26364,69.349,0.0000000,0.000000,10.6754,0.0000,61.61036,0.00000,-0.009937,0.000000,0
57,2.375000,19.7000,22.7200,0.0000,0.0000,19.70849,70.951,0.0000000,0.000000,10.6771,0.0000,63.86202,0.00000,-0.009939,0.000000,0
58,2.416667,20.5293,23.5493,0.0000,0.0000,20.15340,72.552,0.0000000,0.000000,10.6787,0.0000,66.16560,0.00000,-0.009940,0.000000,0
59,2.458333,21.3773,24.3973,0.0000,0.0000,20.59838,74.154,0.0000000,0.000000,10.6802,0.0000,68.52136,0.00000,-0.009942,0.000000,0
60,2.500000,22.2438,25.2638,0.0000,0.0000,21.04342,75.756,0.0000000,0.000000,10.6816,0.0000,70.92810,0.00000,-0.009943,0.000000,0
61,2.541667,23.1292,26.1492,0.0000,0.0000,21.48852,77.359,0.0000000,0.000000,10.6830,0.0000,73.38756,0.00000,-0.009944,0.000000,0
62,2.583333,24.0329,27.0529,0.0000,0.0000,21.93367,78.961,0.0000000,0.000000,10.6842,0.0000,75.89803,0.00000,-0.009945,0.000000,0
63,2.625000,24.9555,27.9755,0.0000,0.0000,22.37887,80.564,0.0000000,0.000000,10.6854,0.0000,78.46069,0.00000,-0.009946,0.000000,0
64,2.666667,25.8967,28.9167,0.0000,0.0000,22.82412,82.167,0.0000000,0.000000,10.6865,0.0000,81.07515,0.00000,-0.009947,0.000000,0
65,2.708333,26.8565,29.8765,0.0000,0.0000,23.26941,83.770,0.0000000,0.000000,10.6875,0.0000,83.74122,0.00000,-0.009948,0.000000,0
66,2.750000,27.8349,30.8549,0.0000,0.0000,23.71475,85.373,0.0000000,0.000000,10.6885,0.0000,86.45902,0.00000,-0.009949,0.000000,0
67,2.791667,28.8320,31.8520,0.0000,0.0000,24.16012,86.976,0.0000000,0.000000,10.6895,0.0000,89.22864,0.00000,-0.009950,0.000000,0
68,2.833333,29.8477,32.8677,0.0000,0.0000,24.60553,88.580,0.0000000,0.000000,10.6903,0.0000,92.05008,0.00000,-0.009951,0.000000,0
69,2.875000,30.8820,33.9020,0.0000,0.0000,25.05098,90.184,0.0000000,0.000000,10.6912,0.0000,94.92330,0.00000,-0.009952,0.000000,0
70,2.916667,31.9350,34.9550,0.0000,0.0000,25.49647,91.787,0.0000000,0.000000,10.6920,0.0000,97.84822,0.00000,-0.009953,0.000000,0
71,2.958333,33.0065,36.0265,0.0000,0.0000,25.94198,93.391,0.0000000,0.000000,10.6927,0.0000,100.82471,0.00000,-0.009953,0.000000,0
72,3.000000,34.0969,37.1169,0.0000,0.0000,26.38753,94.995,0.0000000,0.000000,10.6934,0.0000,103.85341,0.00000,-0.009954,0.000000,0
73,3.041667,35.2058,38.2258,0.0000,0.0000,26.83310,96.599,0.0000000,0.000000,10.6941,0.0000,106.93368,0.00000,-0.009955,0.000000,0
74,3.083333,36.3333,39.3533,0.0000,0.0000,27.27870,98.203,0.0000000,0.000000,10.6948,0.0000,110.06569,0.00000,-0.009955,0.000000,0
75,3.125000,37.4795,40.4995,0.0000,0.0000,27.72433,99.808,0.0000000,0.000000,10.6954,0.0000,113.24950,0.00000,-0.009956,0.000000,0
76,3.166667,38.6443,41.6643,0.0000,0.0000,28.16998,101.412,0.0000000,0.000000,10.6960,0.0000,116.48520,0.00000,-0.009956,0.000000,0
77,3.208333,39.8277,42.8477,0.0000,0.0000,28.61566,103.016,0.0000000,0.000000,10.6965,0.0000,119.77244,0.00000,-0.009957,0.000000,0
78,3.250000,41.0298,44.0498,0.0000,0.0000,29.06136,104.621,0.0000000,0.000000,10.6971,0.0000,123.11146,0.00000,-0.009957,0.000000,0
79,3.291667,42.2505,45.2705,0.0000,0.0000,29.50708,106.226,0.0000000,0.000000,10.6976,0.0000,126.50249,0.00000,-0.009958,0.000000,0
80,3.333333,43.4899,46.5099,0.0000,0.0000,29.95283,107.830,0.0000000,0.000000,10.6981,0.0000,129.94522,0.00000,-0.009958,0.000000,0
81,3.375000,44.7479,47.7679,0.0000,0.0000,30.39859,109.435,0.0000000,0.000000,10.6985,0.0000,133.43967,0.00000,-0.009959,0.000000,0
82,3.416667,46.0245,49.0445,0.0000,0.0000,30.84437,111.040,0.0000000,0.000000,10.6990,0.0000,136.98583,0.00000,-0.009959,0.000000,0
83,3.458333,47.3198,50.3398,0.0000,0.0000,31.29017,112.645,0.0000000,0.000000,10.6994,0.0000,140.58383,0.00000,-0.009959,0.000000,0
84,3.500000,48.6338,51.6538,0.0000,0.0000,31.73599,114.250,0.0000000,0.000000,10.6998,0.0000,144.23375,0.00000,-0.009960,0.000000,0
85,3.541667,49.9664,52.9864,0.0000,0.0000,32.18182,115.855,0.0000000,0.000000,10.7002,0.0000,147.93532,0.00000,-0.009960,0.000000,0
86,3.583333,51.3175,54.3375,0.0000,0.0000,32.62767,117.460,0.0000000,0.000000,10.7006,0.0000,151.68847,0.00000,-0.009961,0.000000,0
87,3.625000,52.6874,55.7074,0.0000,0.0000,33.07353,119.065,0.0000000,0.000000,10.7009,0.0000,155.49376,0.00000,-0.009961,0.000000,0
